Show,Episode Number,Episode,Played,Unnamed: 4,,,
Yu Yu Hakusho,16,"Byakko, The White Tiger",yee,,,,
Yu Yu Hakusho,18,"Seiryu, The Blue Dragon",yee,,,,
Yu Yu Hakusho,19,"Suzaku, Leader Of The Beasts",yee,,,,
Yu Yu Hakusho,20,Seven Ways To Die,yee,,,,
Yu Yu Hakusho,21,Yusuke's Sacrifice,yee,,,,
Yu Yu Hakusho,22,Lamenting Beauty,yee,,,,
Yu Yu Hakusho,23,The Toguro Brothers Gang,yee,,,,
Yu Yu Hakusho,24,The Deadly Triad,no,,,,
Yu Yu Hakusho,25,Kuwabara's Fight Of Love,no,,,,
Yu Yu Hakusho,26,Toguro Returns,no,,,,
Yu Yu Hakusho,27,The Dark Tournament Begins,no,,,,
Yu Yu Hakusho,28,First Fight,no,,,,
Yu Yu Hakusho,29,Flowers Of Blood,no,,,,
Yu Yu Hakusho,30,Dragon Of The Darkness Flame,no,,,,
Yu Yu Hakusho,31,Stumbling Warrior,no,,,,
Yu Yu Hakusho,32,Knife Edge Death-match,no,,,,
Yu Yu Hakusho,33,A Day In Waiting,no,,,,
Yu Yu Hakusho,34,Percentage Of Victory,no,,,,
Yu Yu Hakusho,35,Glimpse Beneath The Mask,no,,,,
Yu Yu Hakusho,36,"Ambition Destroyed, A Trial By Light",no,,,,
Yu Yu Hakusho,37,Master Of Disguise,no,,,,
Yu Yu Hakusho,38,Kurama's Stand,no,,,,
Yu Yu Hakusho,39,Crushing Revenge,no,,,,
Yu Yu Hakusho,40,"Jin, The Wind Master",no,,,,
Yu Yu Hakusho,41,Reverse Decisions,no,,,,
Yu Yu Hakusho,42,A Matter Of Love And Death,no,,,,
Yu Yu Hakusho,43,The Masked Fighter Revealed,no,,,,
Yu Yu Hakusho,44,Yusuke's Final Test,no,,,,
Yu Yu Hakusho,45,Hiei Battles On,no,,,,
Yu Yu Hakusho,46,"Many Faces, Many Forms",no,,,,
Yu Yu Hakusho,47,"Legendary Bandit, Yoko Kurama",no,,,,
Yu Yu Hakusho,48,The Cape Of No Return,no,,,,
Yu Yu Hakusho,49,Genkai's Strength,no,,,,
Yu Yu Hakusho,50,Suzuka's Challenge,no,,,,
Yu Yu Hakusho,51,Arch-rivals,no,,,,
Yu Yu Hakusho,52,The Death Of Genkai,no,,,,
Yu Yu Hakusho,53,Overcoming Grief,no,,,,
Yu Yu Hakusho,54,The Beginning Of The End,no,,,,
Yu Yu Hakusho,55,The Beast Within,no,,,,
Yu Yu Hakusho,56,Yoko's Magic,no,,,,
Yu Yu Hakusho,57,Beneath Bui's Armor,no,,,,
Yu Yu Hakusho,58,Wielder Of The Dragon,no,,,,
Yu Yu Hakusho,59,The Shadow Of Elder Toguro,no,,,,
Yu Yu Hakusho,60,Sakyo's Proposal,no,,,,
Yu Yu Hakusho,61,Yusuke Vs. Toguro,no,,,,
